track_id,track_name,track_artist,track_artist_id,track_popularity,track_album_id,track_album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3fNf71Ktya4CYMqGM6eRud,Stupid Girl - Remastered 2015,Garbage,6S0GHTqz5sxK5f9HtLXn9q,52,1Vze7jtjAVQOdIIQ8oO2X7,Garbage (20th Anniversary Deluxe Edition/Remastered),1995,0.634,0.756,1,-4.81,0,0.0332,0.00251,0.000441,0.0427,0.661,119.948,258533
4tiNxhEmbDkEFdIHbXPYsw,トウキョウ・モナムール,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,16,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.666,0.575,3,-7.129,1,0.029,0.0992,0.0722,0.136,0.887,89.077,352773
6BdD561PmmMhpUYI7Qhaut,Everything To Everyone,Everclear,694QW15WkebjcrWgQHzRYF,51,7xk1Tl6UZ8OALZkFEagPsM,So Much For The Afterglow,1997-10-07,0.646,0.945,0,-5.689,1,0.0473,0.0919,1.53e-05,0.0599,0.796,100.027,200266
1W02KkFerpTBP29RKIt2c4,Something's Always Wrong,Toad The Wet Sprocket,4j7EVY3kuDwLPfD2jfC7LC,45,6gdq0tzScSPbteGqpJgHjM,Dulcinea,1994-04-27,0.537,0.86,3,-7.042,0,0.0339,0.0627,0.000856,0.0929,0.553,134.616,296933
5ReYNiEmcN500JQmtGhHPw,愛餓を,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,13,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.479,0.585,9,-8.781,1,0.0347,0.603,0.787,0.535,0.674,87.703,218093
0p7H3kcuqKSzrJhEEAQZKc,Devil Without a Cause,Kid Rock,7dOBabd5O4CvKrg4iriHTM,48,7nFlAxnXMrQRpM1R80pKQm,Devil Without a Cause,1998,0.664,0.933,4,-4.21,1,0.209,0.0463,0,0.123,0.454,92.303,332640
3mtukCAgd0mE260QcBfXAX,Love Song,311,41Q0HrwWBtuUkJc7C1Rp6K,57,0OsjlbBaSZFbZnXGAUysMG,Greatest Hits '93 - '03,2004-06-08,0.625,0.686,9,-8.337,0,0.0309,0.0154,0.0499,0.0932,0.556,139.817,211693
62Cx8FoIXlP9Oaj9OuLbSU,I Burn,Toadies,2QMMktUMtwMSwUZATX1cRO,44,7tFTqVGHceSlXOaz8IylBN,Rubberneck,1994-01-01,0.709,0.575,6,-11.589,1,0.0281,0.0572,0.000161,0.11,0.642,88.53,212000
11u7DJ4Hq27KCUV2L4Fy40,ハッピー・サッド,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,19,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.708,0.956,0,-3.704,1,0.0411,0.216,3.05e-05,0.147,0.88,115.017,294746
7ye3N9FfQLnLNH6VxBlZA0,A Murder Of One,Counting Crows,0vEsuISMWAKNctLlUAhSZC,45,4nKfZbCALT9H9LfedtDwnZ,August And Everything After,1993-01-01,0.533,0.597,6,-8.175,1,0.0418,0.125,0.000768,0.106,0.406,116.207,343800
